"DateObject[{2020, 5, 10}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 4, 15}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 4, 6}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 4, 2}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 4, 1}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 4}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 31}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 31}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 30}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 26}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 24}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 24}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 24}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 20}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 20}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 20}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 18}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 17}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 16}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 16}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 9}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 9}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 6}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 5}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 4}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 3}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 3}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 3}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 2}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 2}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 2}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3, 2}, ""Day"", ""Gregorian"", -4.]"
"DateObject[{2020, 3}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 3}, ""Month"", ""Gregorian"", -4.]"
"DateObject[{2020, 3}, ""Month"", ""Gregorian"", -4.]"
